id,title,author,nicknames,suite,performances,copy_id,core_gd,cover_gd,cover_jg,core_jrad,aka,debut_gd,notes,abbrev
392,(I'm A) Road Runner,"Brian Holland, Lamont Dozier, Eddie Holland (Marvin Gaye)",Roadrunner,,3736:4622:5203,392,,TRUE,,,,1986,,
14,Baby Don't You Do It,"Brian Holland, Lamont Dozier, Eddie Holland (Marvin Gaye)",,,1046:5201,14,,,,,,,,
684,How Sweet It Is (To Be Loved by You),"Brian Holland, Lamont Dozier, Eddie Holland (Marvin Gaye)",,,,684,,TRUE,,,,1972,,
831,You Keep Me Hangin' On,"Brian Holland, Lamont Dozier, Eddie Holland (The Supremes; Vanilla Fudge)",,,5370:5496,831,,,,,You Just Keep Me Hanging On,1966,,
441,Flash,Brian May (Queen),,,,441,,,,,Flash's Theme,,,
690,Help Me Rhonda,Brian Wilson (The Beach Boys),,,,690,,TRUE,,,,1971,,
446,Boy,Brothers Past,,,,446,,,,TRUE,,,,
300,Simple Gift of Man,Brothers Past,,,,300,,,,TRUE,,,,
563,Stander on the Mountain,Bruce Hornsby,,,,563,TRUE,,,,,1990,,
579,Valley Road,Bruce Hornsby,,,,579,TRUE,,,,,1990,,
12,Atlantic City,Bruce Springsteen,,,563:749:1612:1900:2436:2824:2921:3010:3171:3701:5467,12,,,,,,,,
28,Born to Run,Bruce Springsteen,,,982:1834:1943:3358:3695:4551:5277,28,,,,,,,,
804,Rosalita (Come Out Tonight),Bruce Springsteen,Rosalita,,4717:5276,804,,,,,,1973,https://en.wikipedia.org/wiki/Rosalita_(Come_Out_Tonight),
815,Thunder Road,Bruce Springsteen,,,4894,815,,,,,,1975,https://en.wikipedia.org/wiki/Thunder_Road_(song),
467,Havana,Camila Cabello,,,,467,,,,,,2017,,
382,Going Up the Country,Canned Heat,,,,382,,,,,,,,
736,Blue Suede Shoes,Carl Perkins (Elvis Presley),,,,736,,TRUE,,,,1973?,,
620,The Sidewalks of New York,Charles Lawlor & James Blake (Lottie Gilson),,,,620,,TRUE,,,,1972,,
189,Rosalie McFall,Charlie Monroe,,,2434,189,,TRUE,,,Rosa Lee McFall,1970,,
202,Smokestack Lightning,"Chester ""Howlin' Wolf"" Burnett",Smokestack,,2790:4122,202,TRUE,TRUE,,,,1970,,
784,Spoonman,Chris Cornell (Soundgarden),,,,784,,,,,,,https://en.wikipedia.org/wiki/Spoonman,
444,I Want a New Drug,Chris Hayes & Huey Lewis (Huey Lewis and the News),,,,444,,,,,,,,
10,Around and Around,Chuck Berry,,,2785:3585:3838:4434,10,TRUE,TRUE,,,,1970,,
517,Johnny B Goode,Chuck Berry,,,4424,517,,TRUE,,,,1969,,
391,Let It Rock,Chuck Berry,,,3735:5109,391,,TRUE,,,,1974,,
180,Promised Land,Chuck Berry,,,776:841:1857:2180:2405:2615:3451:5303,180,,TRUE,,,,1971,,
230,The Festival,Chuck Berry,,,2465:2931,230,,,,,,,,
610,Thirty Days,Chuck Berry,,,,610,,TRUE,,,,1973,,
